002;169;Protese Biliar 10fe e 7cm;RDI;no;
002;282;Sonda de Gastrostomia Tipo Button 18 Fr X 1.7;RDI;no;
002;283;Sonda de Gastrostomia Tipo Button 18 Fr X 2.4;RDI;no;
002;284;Sonda de Gastrostomia Tipo Button 18 Fr X 3.4;RDI;no;
002;292;Sonda de Gastrostomia Tipo Button 18 Fr X 1.2;RDI;no;
002;599;Conj.Protese Biliar 10 Fr;RDI;no;
002;602;Conj.Protese Biliar 10 Fr;RDI;no;
002;608;Conj.Protese Biliar 7fr.1;RDI;no;
002;611;Conj.Protese Biliar 7fr.7;RDI;no;
002;612;Conj.Protese Biliar 7fr.9;RDI;no;
002;613;Conj.Protese Biliar 8.5;RDI;no;
002;616;Conj. Protese Biliar 8.5 F;RDI;no;
002;617;Protese Biliar Clso 10-12;RDI;no;
002;619;Protese Biliar Clso 10-7;RDI;no;
002;620;Protese Biliar Clso 10-9;RDI;no;
002;625;Protese Biliar Clso 7-12;RDI;no;
002;627;Gastrostomia Percutanea Sistema Peg Pull 20;RDI;no;
002;628;Protese Biliar Clso 7-9;RDI;no;
002;629;Protese Biliar Clso 8.5-12;RDI;no;
002;631;Protese Biliar Clso 8.5-7;RDI;no;
002;632;Protese Biliar Clso 8.5-9;RDI;no;
002;706;Gastrostomia Percutanea Sistema Peg Pull 16;RDI;no;
002;875;Balao Extrator de Calculo Ebl - Cook;RDI;no;
002;906;Conjunto Drenagem Naso-Biliar Enbd - Cook;RDI;no;
002;985;Conjunto Protese Pancreatica Gepd 5-12 Cook;RDI;no;
002;986;Conjunto Protese Pancreatica Gepd 5-5 Cook;RDI;no;
002;987;Conjunto Protese Pancreatica Gepd 5-7 Cook;RDI;no;
002;1000;Exame Especial;AC;no;
002;1087;Cesta Extracao Calculo Biliar - Trapezoid Rx;RDI;no;
002;1173;Agulha Esclerose Duplo Lumen - Optflo 23 - Boston;RDI;no;
002;1175;Agulha Esclerose Duplo Lumen - Optflo 25 - Boston;RDI;no;
002;11DS;11 Deoxycorticosterona;AC;no; -----------------------------------  ---  PRÉ-REQ. DE ATENDIMENTO ---     -----------------------------------  ---  PRÉ-REQ. DE AGENDAMENTO ---    
002;1310;Stent Esofagico Nitinol Coberto 10cm - Ultraflex;RDI;no;
002;1315;Stent Esofagico Nitinol Coberto 15cm - Ultraflex;RDI;no;
002;1523;Pinca Para Biopsia Pulmonar - Radial Jaw 3;RDI;no;
002;1524;Pinca Para Biopsia Pulmonar - C/ Ag Radial Jaw 3;RDI;no;
002;1525;Pinca de Retirada de Corpo Estranho - Gfe;RDI;no;
002;1550;Pinca Para Biopsia Hot Biopsy - Radial Jaw 3;RDI;no;
002;15AN;Androstenedione 15 Min. Antes;AC;no;
002;15IR;Insulina 15 Min. Apos;AC;no; -----------------------------------  ---  PRÉ-REQ. DE ATENDIMENTO ---   jejum minimo 8 h e maximo 12 h  -----------------------------------  ---  PRÉ-REQ. DE AGENDAMENTO ---   * Este exame não pode ser realizado pela coleta domiciliar. jejum minimo 8 h e maximo 12 h 
002;1635;Escova Citologia Biliar Duplo Canal - Cath Rx;RDI;no;
